DATE,COUNT,SECONDS
4/14/2015,8179,7222226
4/14/2016,9108,7378539
4/14/2017,9492,9067427
4/15/2014,2470,1805812
4/15/2015,7444,7376099
4/15/2016,10385,9407294
4/15/2017,17942,27683915
4/16/2014,4298,3477907
4/16/2015,6411,5161330
4/16/2016,14319,19937198
4/16/2017,10399,14975890
4/17/2014,6336,6328369
4/17/2015,10271,11363915
4/17/2016,15323,22588912
4/17/2017,11326,10302485
4/18/2014,5419,5189784
4/18/2015,8416,10372031
4/18/2016,12900,13255022
4/18/2017,12931,11945498
4/19/2014,7539,10347228
4/19/2015,4366,4858642
4/19/2016,8689,6413924
4/19/2017,8550,5885001
4/2/2014,3733,2850904
4/2/2015,4313,3776659
4/2/2016,2571,2058637
4/2/2017,5707,5679754
4/20/2014,10028,15287524
4/20/2015,4607,3199878
4/20/2016,9058,7261460
4/20/2017,11472,10005544
4/21/2014,6410,6013896
4/21/2015,5449,4113293
4/21/2016,9334,7534284
4/21/2017,9139,7037470
4/22/2014,6207,5268692
4/22/2015,4854,3299664
4/22/2016,7801,6517538
4/22/2017,8594,9536513
4/23/2014,5456,4139249
4/23/2015,6340,4902447
4/23/2016,10336,12914647
4/23/2017,12216,16292031
4/24/2014,5699,4844071
4/24/2015,6163,4919085
4/24/2016,15262,21707557
4/24/2017,12159,10839944
4/25/2014,8976,10114219
4/25/2015,2151,1611294
4/25/2016,12536,12253707
4/25/2017,14204,13136098
4/26/2014,5902,7038029
4/26/2015,5617,6494583
4/26/2016,7313,4942745
4/26/2017,11924,9701267
4/27/2014,3796,3859709
4/27/2015,7019,6046008
4/27/2016,5230,3229554
4/27/2017,7065,4583181
4/28/2014,2732,1847594
4/28/2015,7726,6257787
4/28/2016,7252,4886514
4/28/2017,9393,7248755
4/29/2014,5195,3944430
4/29/2015,7752,6450844
4/29/2016,7692,5619882
4/29/2017,1879,1279540
4/3/2014,1745,1090787
4/3/2015,4034,3111786
4/3/2016,6254,7054756
4/3/2017,4933,2992593
4/30/2014,5181,3724553
4/30/2015,6828,5159443
4/30/2016,1650,1342199
4/30/2017,1622,1046257
4/4/2014,2609,1997294
4/4/2015,4860,5918297
4/4/2016,4484,2817767
4/4/2017,7462,5008233
4/5/2014,3994,5009909
4/5/2015,5194,6816780
4/5/2016,6209,4527184
4/5/2017,1845,1065859
4/6/2014,4732,5931440
4/6/2015,4604,3516683
4/6/2016,3734,2339890
4/6/2017,6322,4025623
4/7/2014,4253,3212368
4/7/2015,3096,2006437
4/7/2016,5271,3511363
4/7/2017,7873,6038797
4/8/2014,4868,4158778
4/8/2015,3594,2303121
4/8/2016,4527,2878303
4/8/2017,12252,17139300
4/9/2014,6322,6269294
4/9/2015,2667,1994378
4/9/2016,3024,2380856
4/9/2017,13431,19175977
5/1/2014,3296,2156795
5/1/2015,8984,8470968
5/1/2016,3562,3407824
5/1/2017,6569,4655534
5/10/2014,12879,18131142
5/10/2015,3109,2944903
5/10/2016,5936,4393319
5/10/2017,7915,5846671
5/11/2014,8360,12329923
5/11/2015,6479,6126140
5/11/2016,10240,8286428
5/11/2017,11515,9249641
5/12/2014,8193,8284843
5/12/2015,7785,6785993
5/12/2016,10952,9709604
5/12/2017,13277,12192063
5/13/2014,6536,5237827
5/13/2015,8316,7059192
5/13/2016,11211,10918592
5/13/2017,15015,19821323
5/14/2014,6684,5374436
5/14/2015,8449,7477964
5/14/2016,5524,5258504
5/14/2017,11392,14796937
5/15/2014,4399,3226737
5/15/2015,11566,12794124
5/15/2016,7837,8610498
5/15/2017,14855,14444343
5/16/2014,3775,2711303
5/16/2015,13679,19330509
5/16/2016,12663,12196451
5/16/2017,16166,16337284
5/17/2014,7430,8887601
5/17/2015,11921,16918837
5/17/2016,8952,6574345
5/17/2017,14295,12435553
5/18/2014,11164,15451566
5/18/2015,13613,15763588
5/18/2016,11669,9645357
5/18/2017,14614,13855763
5/19/2014,9639,9966513
5/19/2015,8627,7150775
5/19/2016,13753,13205170
5/19/2017,5823,3672592
5/2/2014,5403,4677577
5/2/2015,12932,18991936
5/2/2016,9331,7538971
5/2/2017,7340,4897615
5/20/2014,10551,11465426
5/20/2015,6445,4782369
5/20/2016,12698,11745190
5/20/2017,5119,5073554
5/21/2014,11208,11652884
5/21/2015,11786,11616262
5/21/2016,15978,21330219
5/21/2017,10311,12256826
5/22/2014,10135,9820827
5/22/2015,12018,12204639
5/22/2016,16868,22847684
5/22/2017,14461,13749081
5/23/2014,10767,11090928
5/23/2015,17588,26680054
5/23/2016,16190,17445967
5/23/2017,7152,5157405
5/24/2014,12922,18588703
5/24/2015,10181,14494420
5/24/2016,16425,16778507
5/24/2017,9367,6655157
5/25/2014,16391,28325187
5/25/2015,13066,18641325
5/25/2016,11188,10850126
5/25/2017,12630,10326807
5/26/2014,12865,20326052
5/26/2015,9405,8741162
5/26/2016,15101,14208091
5/26/2017,8802,8235917
5/27/2014,8495,8453180
5/27/2015,13166,13823172
5/27/2016,11934,11617787
5/27/2017,16842,24252169
5/28/2014,8511,7501198
5/28/2015,14842,16989015
5/28/2016,15244,21449268
5/28/2017,14464,21289656
5/29/2014,10249,9788343
5/29/2015,12688,13313332
5/29/2016,20240,32401801
5/29/2017,16869,24197489
5/3/2014,9264,13023248
5/3/2015,9588,14251965
5/3/2016,11596,10296875
5/3/2017,10160,7914837
5/30/2014,12016,13174871
5/30/2015,2669,2759748
5/30/2016,18818,28473238
5/30/2017,14558,13079052
5/31/2014,15449,21777868
5/31/2015,4377,3984881
5/31/2016,10457,9661238
5/31/2017,15944,14604297
5/4/2014,4940,5683686
5/4/2015,8528,7872277
5/4/2016,7937,5511046
5/4/2017,8801,6137763
5/5/2014,5586,4580930
5/5/2015,5209,3748061
5/5/2016,9723,8291875
5/5/2017,8541,6170734
5/6/2014,7036,5904524
5/6/2015,8780,8077887
5/6/2016,14482,15698608
5/6/2017,7743,8649584
5/7/2014,7491,7177589
5/7/2015,12203,13317218
5/7/2016,7697,8201280
5/7/2017,7336,7638170
5/8/2014,10058,10430189
5/8/2015,8202,8888681
5/8/2016,12054,16497965
5/8/2017,9848,7806804
5/9/2014,7053,7600975
5/9/2015,5614,5885139
5/9/2016,7059,4908949
5/9/2017,8264,6026983
6/1/2014,13519,19075242
6/1/2015,9792,8910061
6/1/2016,11144,10669867
6/1/2017,16364,15455449
6/10/2014,4815,3743515
6/10/2015,15473,15133546
6/10/2016,17519,20049516
6/10/2017,19413,26494593
6/11/2014,7629,6516144
6/11/2015,12856,12024303
6/11/2016,17943,25884022
6/11/2017,17265,23249406
6/12/2014,10814,10472564
6/12/2015,7183,6241824
6/12/2016,15238,19087018
6/12/2017,16221,15615477
6/13/2014,13019,14000510
6/13/2015,16814,23443127
6/13/2016,16218,16290477
